評論者,評分,時間,內容,店家名稱,店家ID
jiayii Wu,5,1 年前,餐很好吃！！ 我點了一套青醬雞腿燉飯，濃湯麵包都可以續一次，帶小孩去，小孩自己吃完兩碗湯和2次麵包，我的燉飯也有分小孩，自己還能吃很飽！ 美味好吃份量很夠！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
林祐慶,5,3 年前,跟朋友看完電影偶然看到，想說嚐鮮看看，餐點精緻美味。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
慧娟宋,5,3 年前,蛤蠣起司白醬義大利麵美味，起司味道濃郁👍👍 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
鄭宇昇,5,2 年前,優質店家，cp值高，湯麵包可續一次,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
夏廣斌,5,2 年前,美味的餐點、良好的服務、親民的價格、舒適的座位、方便的位置，來A13吃Pasta的理想選擇。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
路邊一隻柴,5,3 年前,餐點真材實料，醬料濃郁，商業午餐也很划算^^,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Yu,5,3 年前,"野菇千層麵 份量有點小但是美味
環境很好👍👍",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Kunxiang Chen,4,1 年前,義大利麵，雞肉紅醬麵好吃！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
jessica Zeng,2,1 年前,人力不足，點餐的人動作很慢等很久，餐上來也很久，但是北海道干貝南瓜很好吃,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
阿容,1,2 年前,"看到4.9評價真的嚇到，後來才聽說是之前有給5星送飲料的活動，真的不要被評價騙。

點了蒜香蛤蜊義大利麵280+服務費308，已經算中上價了，收了服務費要自己去櫃檯點餐、水要自己倒，員工一臉不想上班OK可能人手不足很累體諒。

餐點難吃到不行，除了用料還OK整盤義大利麵苦得跟什麼一樣，路邊平價99-100多外帶的都比較好吃…",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
李菱柏,2,2 年前,"先稱讚餐點。
青醬雞胸義大利麵，光青醬香氣就知道青醬用料實在，味道也足夠濃郁，雞胸本身口感與鹹度都很棒。口味偏重但值得稱讚。
麵本身份量足夠，只是主餐雞胸只有薄切的五、六片，另外義麵本身配給的蔬菜幾乎是沒有，只有少量的蔬菜切塊。
今天沒拍照是失策，加了99元套餐可以續一次濃湯與麵包，麵包只來了「一塊」就是一份也沒有說明在菜單內。濃湯續了一次，第一次濃湯喝得到蘑菇香色澤也比較深，第二次的濃湯顏色偏白，略像罐頭濃湯，口味也很像。
消費比較不接受是收了10%服務費，可是服務態度並不積極，我現場看了好幾次其他消費者自己起身倒水飲用，對此不太能理解。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
che chien,5,3 年前,服務周到 環境良好 餐點美味,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
那舒婷,5,3 年前,服務態度很好 出餐也快👍 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
林昭緯,2,2 年前,"義大利麵跟炸物味道都不差，份量也沒問題，但是等非常久
雖然有說會比較慢，但是講的時機是點餐時不是入座前
而且點餐明明已經看到顧客拿著菜單在準備點餐，還是要求顧客在旁邊罰站而不是先點餐
隔壁桌吃完離開至少30分鐘都沒有收桌子
店內沒有坐滿，也沒有外帶單
點餐、餐具跟水都是自助，看不到收服務費的理由",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Solina,5,2 年前,服務人員親切，食材新鮮又美味,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Ching,5,3 年前,濃湯不錯，沒有奇怪奶味，還可以續湯、麵包,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Yin Yang,1,1 年前,"店員來到水時
順便詢問店員是否有素食
店員很熱心的跟我們解說
結果卻被主管大聲罵
一定要在櫃檯點餐
有什麼問題自己到櫃檯！！！
連我跟朋友都一起被教訓要到櫃檯點餐
主管罵人超大聲 全場直接尷尬
這樣還收10%服務費
服務真的棒到不行呢😀",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
奧利佛,5,2 年前,"青醬蛤蜊燉飯很好吃，態度親切，
餐點上桌前會先為客人遞上一杯水，
若之後還有加水需求，主動告知他們即可，人員很樂意為您服務，
自助區有放置水壺及調味料、紙巾等也可以自己來拿取唷！
疫情嚴峻時期，盡可能減少及避免非必要近距離接觸，
不管您是習慣自己來、需要別人時刻貼身服務您的客人，
都能滿足不同需求。
另外，「個人」主餐升級的麵包和濃湯都可以續一次，
若您不理解菜單內容，主動詢問都會耐心地解答，
期待下次再來光顧！",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
楊皓渝,2,2 年前,"味道是唯一還可以給你們兩顆星的理由 外場的處理完全不行

當初點餐時 服務生反應過主餐爆單所以需要等
這點可以理解 假日畢竟就是人很多
但是前菜的麵包居然也等了十五分鐘 這就算了 前菜的湯甚至等了4 50分鐘 等到主餐都來了也還沒上 即使有向服務生反應過了也遲遲未上 這明明就是最快可以準備好的東西 卻不知道為什麼拖的比主餐還久 如果是整體上菜速度都有狀況 那是不是在客人進場時就該提醒 而不是等到坐下點餐時才告知

另外外場明顯人手不足 餐桌來不及收 客人沒人招呼 點菜也等半天 餐具也是自己拿 讓人不知道服務費收的目的到底何在 非常不開心的一次用餐體驗",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Howard Han,5,3 年前,濃湯和焗烤千層麵很讚！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
037張詠婷,5,3 年前,芋香珍珠舒芙蕾很美很好吃 珍珠還是芋頭口味好好吃❣️,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
陳淑真,5,3 年前,服務很好，餐點好吃，活動很棒！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Wu wu,5,3 年前,環境不錯，濃湯好喝👍,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
KEVIN CHENG,1,1 年前,非常糟糕的用餐體驗，點套餐，濃湯沒了，店員還洗我說那你點飲料我送你麵包，結果麵包來是一片薄薄的法國麵包切片塗奶油，我傻眼⋯？,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
易富財,2,2 年前,加價蘑菇湯，跑起來就知道是用什麼奇怪的經做的不是新鮮的是罐頭然後味道超級怪的，麵包有一股怪味，重點是焗烤裡面的麵都沒有入味超詭異的,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
257 TEMP,5,2 年前,有google 了一下，今天訂位我們五位下班小聚，還好出餐算快，濃湯，麵包可以續，整體上味道口味不錯。沒漏氣。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Ting Shih,3,1 年前,"商業午餐要的就是快速，但是餐點製作有夠久，而且別桌餐點還疑似做錯。
唯一值得慶幸的是，餐點本身是真的好吃的，如果不趕時間的人是可以考慮的。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
楊璦玲,5,3 年前,好吃美味～服務親切,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Zheng Lin Chen,5,2 年前,"第一次在義響屋用餐，餐點部分「意想不到的美味」。
較為特別的是麵醬（番茄紅醬等）與主菜（熾燒煙燻鮭魚、炸蝦炸魚等）能隨個人口味去做搭配，另外附加的濃湯及麵包精緻美味也可以續一份，以下為今日用餐相片：
松露醬ｘ主菜煙燻鮭魚　義大利麵
青醬ｘ主菜鮮蔬野菇　義式燉飯",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
楊婕,5,3 年前,不給5星不行！下午的店員小哥超專業，由於趕時間提前打電話訂位+預訂餐點，年輕男店員完全掌握時間安排，讓我準時入座就有熱騰騰的美味焗烤可以立刻享用，餐點也很讚，美味的燻鮭魚花搭配濃郁巧達的焗烤千層麵，遠百終於有像樣的義大利餐廳了！價格平易近人，我一定還會再來喔！十分喜歡,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Ainesley Chen,5,3 年前,蛤蜊千層麵好吃，湯跟麵包也好吃皮有起司香還可以續，最主要是昨天(1/26)的晚班外場服務生服務態度好，介紹的詳細，雖然戴口罩但彷彿可以看到口罩下那俊俏的臉龐，會願意為了他再來吃!,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
戴柏樂,1,2 年前,"一顆星都不想給
服務態度超級差 收了服務費服務比速食店還差 要自己去櫃檯點餐 水跟衛生紙沒了也不補 從頭到尾服務生擺臭臉 讓人備感壓力
環境不太好食物又難吃 超死鹹
不知道到底吃了什麼••••",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
appleslin,5,2 年前,佈景舒適，服務員態度不錯享用美食😋,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Ting Zhuang,5,3 年前,"第一次來吃
點了明太子鮭魚義大利麵
有點帶微辣 超~~~~好吃 大推👍
店員親切的服務讓這餐更加分♥️
馬上收進口袋名單✨",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
張可可,5,3 年前,目前吃到蘑菇湯與麵包味道很棒，服務態度也很Nice，平日用餐也坐無虛席，期待主餐的燉飯中，推薦👍 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
陳世邑（Jacewei）,2,2 年前,"麵包不錯 好吃，
濃湯跟煎餅可惜不合我胃口,
燉飯的部分，有點糟糕，飯沒煮熟的感覺，有米心。",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
張可可,5,3 年前,第一次吃這間，餐點不錯，價位合理，服務態度很優，會滿足顧客需求,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Tiffany H,5,2 年前,明太子北海道大干貝義大利麵，塩烤鮮蝦羅勒青醬燉飯，白醬鮮甜蛤蠣義大利麵，味道純正，濃厚！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Louise,1,6 個月前,太鹹了，下次不會再來。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Andy Hung,4,2 年前,2023-02-點蛤蜊義大利麵，點套餐，湯和麵包可以續一次，湯有點淡，但麵包和義大利麵不錯,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
101109楊凡萱,5,2 年前,環境清潔、服務態度很棒，湯和麵包也可以再續一次，完全就是我的菜🤩,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
王心怡,5,3 年前,千層麵，還不錯吃,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
王宥朋,5,1 年前,氣氛很好 醬料也很好吃 老闆很用心服務,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Fay W,3,2 年前,套餐很空虛，整體而言cp值可以再提升。服務人員倒是挺好的～,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
da-jon,3,2 年前,"義麵軟硬剛好還不錯吃
但是實在等太久
店裡只有一個人在顧",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Howard Hsu,1,3 年前,點了一個外帶義大利麵 說20分鐘 等了快四十分鐘…也沒多好吃,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
安安安,5,3 年前,服務非常好，外場工作人員很有禮貌，餐點也好吃，會想再來！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
伯約黃,1,8 個月前,"服務品質超級差
餐點等很久",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
ㄅㄒ,5,1 年前,餐點很好吃！店員也很友善😍🫶🫶,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
林軒正,5,3 年前,環境很乾淨，服務人員態度親切，推薦炸物鱈魚條很多汁,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
TORO LIN,1,2 年前,餐點走清爽路線,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
郭雅雯,5,2 年前,第三次來，每次都用餐愉快~ 餐點品質佳，服務親切，用餐體驗佳,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Lee Andre,5,2 年前,氣氛好、服務態度佳,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
粘粘,5,3 年前,"打卡送飲料 ，奶油義大利麵好吃，可惜麵條偏軟😅
麵包很香，可以續😁 …",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Sa C,5,1 年前,服務態度超好，餐點也很好吃！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
費雪,5,2 年前,在A13底下，氣氛悠閒的義式餐館，五星加打卡還送玫瑰茶喔！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Ariel Hsu,5,2 年前,"餐點好吃美味！
親子友善~很棒的用餐環境",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Lily Chu,3,2 年前,平日中午有商業午餐，便宜120元～餐點普通,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
白雅芬,5,3 年前,雖然等很久 但店員服務很好 餐點美味可口 值得等待👍 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
張芝芸,5,3 年前,服務好，料好實在,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
hui Ju Shen,5,3 年前,餐點好吃，點套餐附餐還能續，推推！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
芸芸,5,2 年前,送飲料喔！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
熊熊熊,5,2 年前,環境佳、套餐濃湯麵包也好吃😋 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
潘頻頻,5,3 年前,"非常好吃😋
人員有很客氣
值得再來… …",義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Ruby Cheng,5,3 年前,點了松露雞胸肉義大利麵！非常好吃😍😍 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
吳冠霖,5,2 年前,餐點多樣美味，補水迅速，服務至上,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
王莉莎,5,2 年前,第一次消費，燉飯很好吃，值得推薦,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Kristine Wu,5,3 年前,餐點100分～！推薦明太子義大利麵！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
阮筱萍,5,3 年前,用餐環境整潔、服務態度佳，餐點美味。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
簡珮琪,5,3 年前,環境乾淨舒適 服務態度很好 餐點好吃,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Cathy Chang,5,3 年前,餐點美味！服務態度親切,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
楊凱妞,5,3 年前,服務非常好，友善寶寶的餐廳～,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Chenn Mung,5,2 年前,超級好吃！飲料好喝,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Eric,5,3 年前,好吃，生日還送蛋糕,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
羊咩,5,3 年前,服務人員親切有禮，空間舒適,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
盧青龍,5,3 年前,服務很棒，東西好吃。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
李遠錫,5,3 年前,主餐與甜點都好吃~,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
柯修華,5,3 年前,麵包、湯，千層麵不錯,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
許至慧,5,3 年前,東西好吃，服務不錯！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
莊宗霖,5,3 年前,好ㄘ店員很有耐心,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
乳液,5,2 年前,評論送飲料讚讚,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
張進榮,5,2 年前,好吃 乾淨,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
莊呱呱,5,2 年前,環境整潔,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
林佳慧,5,2 年前,餐點好吃😋 …,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Vincent Chin,1,4 個月前,我點了湯和醬，並添加了配料。不幸的是，湯的味道很一般，而且是冷的，令人失望。吃完之後，我覺得很不舒服。糊的味道也低於平均水平，讓我對這家餐廳產生了嚴重的懷疑。,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Jordy Leung,5,1 年前,這裡的菜餚選擇很多...他們在這裡提供奶油風格的菜餚...您可以找到一些不錯的晚餐套餐，價格合理，味道好。  那位女士工作人員非常友好，很樂意為我們服務！,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
黃軒亞,5,3 年前,好吃,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
Mayi Liu,4,1 年前,,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
YC Chang (哈哈熊),5,2 年前,,義饗屋 di CaSa 台北信義遠百店,ChIJ4Qky6surQjQRyBWKG9Pk3lA
